submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
11/14/2021,1701,3,2021,Nov,NJ,11,November,44514
7/21/2021,699,5,2021,Jul,NJ,7,July,44398
1/9/2021,8607,98,2021,Jan,NJ,1,January,44205
2/18/2021,3277,89,2021,Feb,NJ,2,February,44245
2/19/2021,3047,63,2021,Feb,NJ,2,February,44246
3/6/2021,3720,36,2021,Mar,NJ,3,March,44261
9/23/2021,2252,24,2021,Sep,NJ,9,September,44462
11/9/2021,1764,27,2021,Nov,NJ,11,November,44509
9/12/2021,1847,4,2021,Sep,NJ,9,September,44451
11/19/2021,2239,13,2021,Nov,NJ,11,November,44519
6/14/2021,231,4,2021,Jun,NJ,6,June,44361
5/3/2021,983,16,2021,May,NJ,5,May,44319
2/11/2021,3656,79,2021,Feb,NJ,2,February,44238
1/7/2021,7539,123,2021,Jan,NJ,1,January,44203
4/4/2021,3799,5,2021,Apr,NJ,4,April,44290
1/18/2021,3853,19,2021,Jan,NJ,1,January,44214
1/3/2021,4049,21,2021,Jan,NJ,1,January,44199
6/13/2021,207,3,2021,Jun,NJ,6,June,44360
11/8/2021,852,7,2021,Nov,NJ,11,November,44508
4/30/2021,1741,25,2021,Apr,NJ,4,April,44316
11/7/2021,926,5,2021,Nov,NJ,11,November,44507
10/19/2021,1238,31,2021,Oct,NJ,10,October,44488
6/29/2021,222,6,2021,Jun,NJ,6,June,44376
8/31/2021,2128,18,2021,Aug,NJ,8,August,44439
9/19/2021,1909,8,2021,Sep,NJ,9,September,44458
10/7/2021,2065,9,2021,Oct,NJ,10,October,44476
8/10/2021,1629,9,2021,Aug,NJ,8,August,44418
5/4/2021,1004,42,2021,May,NJ,5,May,44320
2/3/2021,2311,109,2021,Feb,NJ,2,February,44230
6/28/2021,148,1,2021,Jun,NJ,6,June,44375
12/5/2021,3496,5,2021,Dec,NJ,12,December,44535
10/29/2021,1306,12,2021,Oct,NJ,10,October,44498
3/4/2021,3193,42,2021,Mar,NJ,3,March,44259
1/20/2021,5438,152,2021,Jan,NJ,1,January,44216
7/31/2021,1182,7,2021,Jul,NJ,7,July,44408
3/15/2021,2660,22,2021,Mar,NJ,3,March,44270
8/19/2021,2022,10,2021,Aug,NJ,8,August,44427
5/25/2021,389,24,2021,May,NJ,5,May,44341
10/13/2021,1746,29,2021,Oct,NJ,10,October,44482
11/20/2021,2199,7,2021,Nov,NJ,11,November,44520
12/14/2021,4397,24,2021,Dec,NJ,12,December,44544
7/10/2021,311,5,2021,Jul,NJ,7,July,44387
8/17/2021,1821,19,2021,Aug,NJ,8,August,44425
9/16/2021,2958,26,2021,Sep,NJ,9,September,44455
6/7/2021,208,6,2021,Jun,NJ,6,June,44354
9/28/2021,1888,34,2021,Sep,NJ,9,September,44467
4/7/2021,4243,49,2021,Apr,NJ,4,April,44293
4/10/2021,3599,33,2021,Apr,NJ,4,April,44296
11/30/2021,3251,42,2021,Nov,NJ,11,November,44530
6/16/2021,283,12,2021,Jun,NJ,6,June,44363
3/26/2021,5599,28,2021,Mar,NJ,3,March,44281
9/24/2021,2236,19,2021,Sep,NJ,9,September,44463
7/26/2021,521,4,2021,Jul,NJ,7,July,44403
2/5/2021,4228,93,2021,Feb,NJ,2,February,44232
7/29/2021,1077,1,2021,Jul,NJ,7,July,44406
4/23/2021,2834,27,2021,Apr,NJ,4,April,44309
12/31/2021,33724,37,2021,Dec,NJ,12,December,44561
12/26/2021,14159,7,2021,Dec,NJ,12,December,44556
12/21/2021,8494,32,2021,Dec,NJ,12,December,44551
