submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
7/25/2021,912,7,2021,Jul,NY,7,July,44402
2/17/2021,3014,60,2021,Feb,NY,2,February,44244
2/24/2021,2826,48,2021,Feb,NY,2,February,44251
11/7/2021,3715,20,2021,Nov,NY,11,November,44507
6/21/2021,55,4,2021,Jun,NY,6,June,44368
6/17/2021,212,2,2021,Jun,NY,6,June,44364
12/29/2021,27499,70,2021,Dec,NY,12,December,44559
6/9/2021,216,4,2021,Jun,NY,6,June,44356
9/3/2021,3791,20,2021,Sep,NY,9,September,44442
3/21/2021,3735,26,2021,Mar,NY,3,March,44276
5/1/2021,1857,0,2021,May,NY,5,May,44317
6/10/2021,264,4,2021,Jun,NY,6,June,44357
5/23/2021,634,4,2021,May,NY,5,May,44339
9/13/2021,2298,17,2021,Sep,NY,9,September,44452
3/31/2021,4197,27,2021,Mar,NY,3,March,44286
12/12/2021,7284,49,2021,Dec,NY,12,December,44542
6/28/2021,134,2,2021,Jun,NY,6,June,44375
12/11/2021,7872,50,2021,Dec,NY,12,December,44541
2/28/2021,3623,39,2021,Feb,NY,2,February,44255
6/15/2021,146,6,2021,Jun,NY,6,June,44362
11/14/2021,4196,21,2021,Nov,NY,11,November,44514
7/5/2021,141,1,2021,Jul,NY,7,July,44382
3/16/2021,3138,24,2021,Mar,NY,3,March,44271
2/13/2021,4182,59,2021,Feb,NY,2,February,44240
11/18/2021,6517,27,2021,Nov,NY,11,November,44518
10/10/2021,2077,25,2021,Oct,NY,10,October,44479
12/28/2021,13006,42,2021,Dec,NY,12,December,44558
7/11/2021,254,0,2021,Jul,NY,7,July,44388
7/13/2021,285,5,2021,Jul,NY,7,July,44390
4/1/2021,4566,30,2021,Apr,NY,4,April,44287
1/20/2021,6770,128,2021,Jan,NY,1,January,44216
8/8/2021,1773,5,2021,Aug,NY,8,August,44416
9/6/2021,2459,18,2021,Sep,NY,9,September,44445
8/11/2021,2191,11,2021,Aug,NY,8,August,44419
5/6/2021,1543,9,2021,May,NY,5,May,44322
1/2/2021,9846,97,2021,Jan,NY,1,January,44198
3/26/2021,4114,12,2021,Mar,NY,3,March,44281
12/8/2021,7243,33,2021,Dec,NY,12,December,44538
5/11/2021,959,20,2021,May,NY,5,May,44327
10/27/2021,3500,30,2021,Oct,NY,10,October,44496
6/23/2021,132,6,2021,Jun,NY,6,June,44370
10/6/2021,4271,23,2021,Oct,NY,10,October,44475
1/26/2021,5983,111,2021,Jan,NY,1,January,44222
1/23/2021,7926,96,2021,Jan,NY,1,January,44219
2/7/2021,4743,82,2021,Feb,NY,2,February,44234
5/31/2021,287,10,2021,May,NY,5,May,44347
5/3/2021,1284,23,2021,May,NY,5,May,44319
3/10/2021,3069,20,2021,Mar,NY,3,March,44265
2/15/2021,2910,50,2021,Feb,NY,2,February,44242
4/27/2021,1513,12,2021,Apr,NY,4,April,44313
7/26/2021,553,2,2021,Jul,NY,7,July,44403
3/17/2021,3587,22,2021,Mar,NY,3,March,44272
6/1/2021,215,8,2021,Jun,NY,6,June,44348
8/24/2021,1766,8,2021,Aug,NY,8,August,44432
3/4/2021,3568,26,2021,Mar,NY,3,March,44259
10/14/2021,3345,38,2021,Oct,NY,10,October,44483
2/18/2021,3356,55,2021,Feb,NY,2,February,44245
4/2/2021,3993,22,2021,Apr,NY,4,April,44288
3/15/2021,2803,17,2021,Mar,NY,3,March,44270
9/9/2021,3430,15,2021,Sep,NY,9,September,44448
9/11/2021,3591,20,2021,Sep,NY,9,September,44450
3/19/2021,3693,28,2021,Mar,NY,3,March,44274
12/23/2021,16027,56,2021,Dec,NY,12,December,44553
7/3/2021,151,0,2021,Jul,NY,7,July,44380
4/29/2021,2468,17,2021,Apr,NY,4,April,44315
3/30/2021,3370,23,2021,Mar,NY,3,March,44285
4/23/2021,2770,20,2021,Apr,NY,4,April,44309
5/30/2021,528,11,2021,May,NY,5,May,44346
11/12/2021,5009,25,2021,Nov,NY,11,November,44512
6/8/2021,221,9,2021,Jun,NY,6,June,44355
1/10/2021,10036,111,2021,Jan,NY,1,January,44206
4/14/2021,3298,24,2021,Apr,NY,4,April,44300
2/12/2021,4209,74,2021,Feb,NY,2,February,44239
5/9/2021,1425,11,2021,May,NY,5,May,44325
3/24/2021,3469,26,2021,Mar,NY,3,March,44279
9/22/2021,2969,25,2021,Sep,NY,9,September,44461
10/13/2021,3519,25,2021,Oct,NY,10,October,44482
10/20/2021,3537,26,2021,Oct,NY,10,October,44489
4/9/2021,4646,26,2021,Apr,NY,4,April,44295
4/17/2021,4194,24,2021,Apr,NY,4,April,44303
1/5/2021,7803,124,2021,Jan,NY,1,January,44201
11/9/2021,3258,30,2021,Nov,NY,11,November,44509
2/4/2021,4475,81,2021,Feb,NY,2,February,44231
11/8/2021,2694,22,2021,Nov,NY,11,November,44508
5/16/2021,933,15,2021,May,NY,5,May,44332
1/11/2021,8424,123,2021,Jan,NY,1,January,44207
1/14/2021,8302,145,2021,Jan,NY,1,January,44210
4/18/2021,3016,14,2021,Apr,NY,4,April,44304
7/19/2021,362,1,2021,Jul,NY,7,July,44396
12/10/2021,8092,49,2021,Dec,NY,12,December,44540
7/12/2021,223,0,2021,Jul,NY,7,July,44389
11/16/2021,3959,26,2021,Nov,NY,11,November,44516
10/2/2021,3336,18,2021,Oct,NY,10,October,44471
11/1/2021,2179,26,2021,Nov,NY,11,November,44501
5/24/2021,589,9,2021,May,NY,5,May,44340
12/27/2021,8369,90,2021,Dec,NY,12,December,44557
11/11/2021,5301,34,2021,Nov,NY,11,November,44511
8/20/2021,2782,12,2021,Aug,NY,8,August,44428
6/26/2021,160,3,2021,Jun,NY,6,June,44373
8/21/2021,2906,13,2021,Aug,NY,8,August,44429
6/3/2021,296,7,2021,Jun,NY,6,June,44350
11/24/2021,5697,25,2021,Nov,NY,11,November,44524
6/25/2021,141,3,2021,Jun,NY,6,June,44372
12/30/2021,30222,52,2021,Dec,NY,12,December,44560
7/20/2021,475,1,2021,Jul,NY,7,July,44397
4/11/2021,3514,22,2021,Apr,NY,4,April,44297
1/8/2021,12548,126,2021,Jan,NY,1,January,44204
3/1/2021,2732,28,2021,Mar,NY,3,March,44256
10/4/2021,1834,14,2021,Oct,NY,10,October,44473
2/20/2021,3542,52,2021,Feb,NY,2,February,44247
5/12/2021,1143,10,2021,May,NY,5,May,44328
4/30/2021,2232,19,2021,Apr,NY,4,April,44316
2/26/2021,3785,40,2021,Feb,NY,2,February,44253
5/21/2021,967,8,2021,May,NY,5,May,44337
