submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months,
1/31/2021,3958,0,2021,Jan,PA,1,January,44227,
5/27/2021,937,40,2021,May,PA,5,May,44343,
11/12/2021,5555,18,2021,Nov,PA,11,November,44512,
11/20/2021,6424,86,2021,Nov,PA,11,November,44520,
7/19/2021,220,3,2021,Jul,PA,7,July,44396,
3/24/2021,4866,48,2021,Mar,PA,3,March,44279,
2/10/2021,3006,125,2021,Feb,PA,2,February,44237,
8/31/2021,3249,21,2021,Aug,PA,8,August,44439,
7/4/2021,136,2,2021,Jul,PA,7,July,44381,
3/1/2021,1687,5,2021,Mar,PA,3,March,44256,
8/18/2021,2186,25,2021,Aug,PA,8,August,44426,
10/22/2021,4496,88,2021,Oct,PA,10,October,44491,
4/5/2021,2666,5,2021,Apr,PA,4,April,44291,
6/21/2021,107,1,2021,Jun,PA,6,June,44368,
6/3/2021,572,36,2021,Jun,PA,6,June,44350,
5/22/2021,1344,39,2021,May,PA,5,May,44338,
4/2/2021,4893,28,2021,Apr,PA,4,April,44288,
2/11/2021,4034,115,2021,Feb,PA,2,February,44238,
7/17/2021,414,4,2021,Jul,PA,7,July,44394,
3/14/2021,1912,13,2021,Mar,PA,3,March,44269,
3/2/2021,2539,74,2021,Mar,PA,3,March,44257,
6/15/2021,371,24,2021,Jun,PA,6,June,44362,
9/1/2021,3100,0,2021,Sep,PA,9,September,44440,
7/12/2021,130,1,2021,Jul,PA,7,July,44389,
7/20/2021,597,10,2021,Jul,PA,7,July,44397,
12/23/2021,10548,0,2021,Dec,PA,12,December,44553,
2/9/2021,4443,149,2021,Feb,PA,2,February,44236,
12/5/2021,6091,43,2021,Dec,PA,12,December,44535,
4/21/2021,4459,60,2021,Apr,PA,4,April,44307,
12/6/2021,3967,60,2021,Dec,PA,12,December,44536,
10/25/2021,2425,4,2021,Oct,PA,10,October,44494,
10/4/2021,4395,12,2021,Oct,PA,10,October,44473,
5/10/2021,996,7,2021,May,PA,5,May,44326,
12/11/2021,11052,156,2021,Dec,PA,12,December,44541,
6/29/2021,189,13,2021,Jun,PA,6,June,44376,
2/23/2021,2846,97,2021,Feb,PA,2,February,44250,
1/7/2021,9407,265,2021,Jan,PA,1,January,44203,
12/15/2021,7301,259,2021,Dec,PA,12,December,44545,
1/21/2021,5785,260,2021,Jan,PA,1,January,44217,
11/6/2021,4663,43,2021,Nov,PA,11,November,44506,
9/29/2021,4570,97,2021,Sep,PA,9,September,44468,
9/16/2021,5786,72,2021,Sep,PA,9,September,44455,
10/23/2021,4573,61,2021,Oct,PA,10,October,44492,
7/31/2021,1142,2,2021,Jul,PA,7,July,44408,
10/31/2021,3114,41,2021,Oct,PA,10,October,44500,
4/20/2021,5098,77,2021,Apr,PA,4,April,44306,
5/1/2021,3030,35,2021,May,PA,5,May,44317,
8/28/2021,3842,28,2021,Aug,PA,8,August,44436,
2/26/2021,3361,69,2021,Feb,PA,2,February,44253,
9/19/2021,4500,17,2021,Sep,PA,9,September,44458,
9/21/2021,4939,68,2021,Sep,PA,9,September,44460,
9/6/2021,2503,3,2021,Sep,PA,9,September,44445,
9/14/2021,3732,83,2021,Sep,PA,9,September,44453,
4/23/2021,4025,59,2021,Apr,PA,4,April,44309,
8/25/2021,3612,33,2021,Aug,PA,8,August,44433,
7/9/2021,228,8,2021,Jul,PA,7,July,44386,
8/8/2021,1240,0,2021,Aug,PA,8,August,44416,
9/23/2021,5489,32,2021,Sep,PA,9,September,44462,
11/29/2021,5252,25,2021,Nov,PA,11,November,44529,
8/21/2021,2727,16,2021,Aug,PA,8,August,44429,
7/3/2021,217,10,2021,Jul,PA,7,July,44380,
12/17/2021,8918,88,2021,Dec,PA,12,December,44547,
12/30/2021,19436,135,2021,Dec,PA,12,December,44560,
4/14/2021,5897,50,2021,Apr,PA,4,April,44300,
11/2/2021,3662,75,2021,Nov,PA,11,November,44502,
7/1/2021,176,9,2021,Jul,PA,7,July,44378,
12/3/2021,10127,97,2021,Dec,PA,12,December,44533,
3/6/2021,2863,55,2021,Mar,PA,3,March,44261,
5/18/2021,1910,38,2021,May,PA,5,May,44334,
8/9/2021,1097,1,2021,Aug,PA,8,August,44417,
4/1/2021,3839,27,2021,Apr,PA,4,April,44287,
1/25/2021,3803,55,2021,Jan,PA,1,January,44221,
12/29/2021,17520,304,2021,Dec,PA,12,December,44559,
6/14/2021,140,33,2021,Jun,PA,6,June,44361,
4/22/2021,4458,52,2021,Apr,PA,4,April,44308,
2/20/2021,2714,90,2021,Feb,PA,2,February,44247,
3/15/2021,1395,1,2021,Mar,PA,3,March,44270,
3/7/2021,1538,32,2021,Mar,PA,3,March,44262,
12/8/2021,8723,91,2021,Dec,PA,12,December,44538,
5/30/2021,485,6,2021,May,PA,5,May,44346,
7/11/2021,191,4,2021,Jul,PA,7,July,44388,
1/17/2021,5783,122,2021,Jan,PA,1,January,44213,
12/9/2021,6918,73,2021,Dec,PA,12,December,44539,
11/21/2021,5417,13,2021,Nov,PA,11,November,44521,
7/22/2021,559,6,2021,Jul,PA,7,July,44399,
7/27/2021,1021,4,2021,Jul,PA,7,July,44404,
